('Albuquerque', 4.702857142857142)
('Anaheim', 3.527142857142857)
('Anchorage', 4.482857142857142)
('Arlington', 5.732857142857142)
('Atlanta', 3.4528571428571433)
('Aurora', 3.3057142857142856)
('Austin', 4.69375)
('Bakersfield', 4.192857142857144)
('Baltimore', 5.512857142857143)
('Baton Rouge', 0.68)
('Boise', 1.0571428571428572)
('Boston', 5.951874999999999)
('Buffalo', 3.527142857142857)
('Chandler', 2.382857142857143)
('Charlotte', 5.4625)
('Chesapeake', 6.2442857142857155)
('Chicago', 4.402777777777779)
('Chula Vista', 3.898571428571429)
('Cincinnati', 3.914285714285715)
('Cleveland', 5.067142857142857)
('Colorado Springs', 8.381428571428572)
('Columbus', 3.922500000000001)
('Corpus Christi', 7.792857142857143)
('Dallas', 6.074375000000001)
('Denver', 1.8456249999999994)
('Detroit', 5.852499999999999)
('Durham', 5.332857142857144)
('El Paso', 5.206874999999999)
('Fort Wayne', 6.468571428571429)
('Fort Worth', 6.846875000000002)
('Fremont', 4.3428571428571425)
('Fresno', 1.687142857142857)
('Garland', 5.5857142857142845)
('Gilbert', 2.2800000000000002)
('Glendale', 3.341428571428572)
('Greensboro', 6.097142857142858)
('Henderson', 3.674285714285715)
('Hialeah', 7.347142857142858)
('Honolulu', 3.527142857142857)
('Houston', 4.516666666666667)
('Indianapolis', 4.4025)
('Irvine', 3.527142857142857)
('Irving', 5.732857142857142)
('Jacksonville', 4.6968749999999995)
('Jersey City', 4.557142857142856)
('Kansas City', 5.732857142857142)
('Laredo', 6.615714285714285)
('Las Vegas', 6.980000000000001)
('Lexington', 3.3057142857142856)
('Lincoln', 8.082857142857145)
('Long Beach', 2.7642857142857147)
('Los Angeles', 4.570555555555556)
('Louisville', 2.8685714285714283)
('Lubbock', 8.818571428571428)
('Madison', 1.818571428571429)
('Memphis', 2.57)
('Mesa', 2.06)
('Miami', 7.347142857142858)
('Milwaukee', 6.395714285714286)
('Minneapolis', 4.482857142857142)
('Nashville', 1.9612500000000002)
('New Orleans', 3.527142857142857)
('New York', 6.498947368421054)
('Newark', 4.557142857142856)
('Norfolk', 4.994285714285715)
('North Las Vegas', 6.980000000000001)
('Oakland', 7.057142857142857)
('Oklahoma City', 10.285624999999998)
('Omaha', 10.727142857142855)
('Orlando', 3.09)
('Philadelphia', 3.3131250000000003)
('Phoenix', 2.441111111111111)
('Pittsburgh', 4.045714285714286)
('Plano', 4.63)
('Portland', 3.3042857142857143)
('Raleigh', 6.022857142857143)
('Reno', 1.9571428571428575)
('Richmond', 8.450000000000001)
('Riverside', 4.045714285714286)
('Sacramento', 4.409999999999999)
('Saint Paul', 6.265714285714286)
('San Antonio', 7.46)
('San Bernardino', 1.6514285714285715)
('San Diego', 4.664375)
('San Francisco', 5.975625000000001)
('San Jose', 3.8600000000000008)
('Santa Ana', 3.527142857142857)
('Scottsdale', 2.132857142857143)
('Seattle', 2.8031250000000005)
('St. Louis', 5.067142857142857)
('St. Petersburg', 4.142857142857143)
('Stockton', 5.732857142857142)
('Tampa', 3.6000000000000005)
('Toledo', 9.07857142857143)
('Tucson', 2.9685714285714284)
('Tulsa', 8.822857142857142)
('Virginia Beach', 7.052857142857143)
('Washington', 2.19)
('Wichita', 10.95142857142857)
('Winston-Salem', 5.14)
